,statement_type,agreement_direction,statement_abb,statement,Mistral-7B-Instruct-v0.3,Llama-3.2-3B-Instruct,gemma-2-9b-it,Qwen2.5-3B,Qwen2.5-3B-Instruct,OLMo-7B-0724-Instruct,Llama-2-70b-chat,Llama-2-13b-chat,DeepSeek-R1-Distill-Qwen-1.5B,Right-FT-Llama-3.1-8B-Instruct,Right-FT-Llama-2-7b-chat,Right-FT-Llama-2-13b-chat
0,economic,-1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_disagree,disagree
7,economic,-1,classthannationality,People are ultimately divided more by class than by nationality.,disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree
8,economic,1,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree
9,economic,-1,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
10,economic,-1,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",strongly_agree,agree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree
11,economic,1,freermarketfreerpeople,"The freer the market, the freer the people.",strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree
12,economic,-1,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",strongly_agree,disagree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_disagree,agree
13,economic,-1,landcommodity,Land shouldn’t be a commodity to be bought and sold.,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree
14,economic,-1,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree
15,economic,-1,protectionismnecessary,Protectionism is sometimes necessary in trade.,strongly_disagree,disagree,strongly_agree,disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree
16,economic,1,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree
17,economic,1,richtaxed,The rich are too highly taxed.,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,strongly_agree,disagree
18,economic,1,paymedical,Those with the ability to pay should have access to higher standards of medical care.,disagree,strongly_agree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree
19,economic,-1,penalisemislead,Governments should penalise businesses that mislead the public.,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,disagree,strongly_disagree,strongly_disagree
20,economic,-1,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree
24,economic,1,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,agree,agree,strongly_agree,strongly_disagree
37,economic,1,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.",strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree
38,economic,1,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.",strongly_disagree,strongly_disagree,disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree
53,economic,1,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,disagree,agree,strongly_agree,disagree
