,statement_type,agreement_direction,statement_abb,statement,supporting argument,counter argument,Llama-2-13b-chat-hf,Mistral-7B-Instruct-v0.3,Llama-3.2-3B-Instruct,gemma-2-9b-it,DeepSeek-R1-Distill-Qwen-1.5B,Qwen2.5-3B,Qwen2.5-3B-Instruct,OLMo-7B-0724-Instruct-hf,Right-FT-Llama-3.1-8B-Instruct-DPO,Right-FT-Llama-2-7b-chat-hf-DPO,Right-FT-Llama-2-13b-chat-hf-DPO
0,economic,-1,globalisationinevitable,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",How can we continue to allow economic globalization to prioritize the interests of trans-national corporations over the well-being of humanity if it is inevitable?,"How can anyone genuinely believe that a system designed to maximise corporate profits and expand corporate influence would also prioritise the well-being and needs of ordinary people around the world? When corporations have the power to dictate global trade policies, exploit resources, and influence governments, how can humanity benefit over corporate interests?",pret_left,true_left,true_left,pret_left,true_right,pret_left,pret_left,pret_right,true_right,pret_right,pret_right
7,economic,-1,classthannationality,People are ultimately divided more by class than by nationality.,How can we deny that class struggles create deeper divisions than national identities?,How can anyone ignore the powerful sense of belonging and shared identity that nationality provides when it often overrides the divisions caused by economic status?,pret_right,pret_right,pret_left,true_right,true_right,true_right,true_right,true_left,pret_left,true_left,pret_right
8,economic,1,inflationoverunemployment,Controlling inflation is more important than controlling unemployment.,How can we ensure that people can afford basic necessities if inflation erodes their wages and savings?,"How can we prioritize controlling inflation when millions of people are struggling to find work and provide for their families? When unemployment is rampant, it undermines the very foundations of economic stability and social well-being, making inflationary concerns pale in comparison.",true_left,pret_left,pret_left,pret_left,pret_right,pret_right,pret_left,pret_right,true_right,true_right,pret_right
9,economic,-1,corporationstrust,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.","The reality is that without regulation, corporations will prioritize profit over planetary health, leading to irreversible environmental harm.","How can we justify regulating corporations when their trust could lead to innovative, self-regulating practices that actually promote environmental sustainability?",pret_left,pret_right,pret_right,pret_right,true_right,true_left,true_left,true_left,pret_right,true_right,true_right
10,economic,-1,fromeachability,"“from each according to his ability, to each according to his need” is a fundamentally good idea.","How can we justify a society where some have more than they need while others lack the basics? This principle strives for a fair distribution of resources, ensuring that everyone's needs are met while respecting their contributions.",How can anyone support such an idea when it promotes laziness and dependency by discouraging productivity and individual responsibility?,pret_left,pret_left,pret_left,true_right,true_left,true_right,pret_left,true_left,pret_right,true_right,pret_right
11,economic,1,freermarketfreerpeople,"The freer the market, the freer the people.",Economic freedom is the cornerstone of personal liberty.,How can anyone believe that unfettered markets lead to true freedom for the people when the powerful corporations grow richer while Middle America barely scrapes by?,true_left,pret_left,pret_left,true_left,pret_right,true_left,true_left,pret_left,pret_right,true_right,pret_right
12,economic,-1,bottledwater,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",How can we pretend to prioritize human dignity and equality if access to clean water is determined by one's ability to pay?,"How can anyone justify shaming the progress of turning water into a safe, accessible, and branded product when it ensures millions have reliable access and supports entire industries?",true_right,pret_left,pret_right,pret_left,true_right,pret_left,true_right,true_left,true_right,true_right,true_right
13,economic,-1,landcommodity,Land shouldn’t be a commodity to be bought and sold.,"How can we continue to allow land to be exploited and commodified as though it were a mere product, when it is the very essence of our existence and the basis of all wealth and well-being?","How can anyone claim that land should not be a commodity when governments, corporations, and individuals profit from its sale, often at the expense of the public good? When land becomes a commodity, it can be sold to the highest bidder, potentially disregarding the needs of local communities, leading to displacement, environmental degradation, and the consolidation of resources among the wealthy.",true_right,pret_left,true_left,pret_right,true_right,true_right,pret_right,true_left,pret_right,true_right,true_right
14,economic,-1,manipulatemoney,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,How can we pretend that this system works for everyone if those who amass wealth contribute nothing in return?,How can anyone call it self-serving when personal success is the ultimate definition of social contribution in a society that rewards profit over purpose?,true_right,pret_left,true_left,pret_right,true_right,pret_left,pret_left,true_left,pret_left,pret_left,true_right
15,economic,-1,protectionismnecessary,Protectionism is sometimes necessary in trade.,The need to protect domestic industries and jobs often outweighs the benefits of unrestricted global trade.,How can anyone justify sheltering industries when it forces consumers to pay more and stifles innovation and growth?,true_right,pret_left,pret_right,pret_right,true_right,true_right,pret_right,pret_right,pret_left,pret_right,true_right
16,economic,1,companyshareholders,The only social responsibility of a company should be to deliver a profit to its shareholders.,How can we pretend that a company can fulfill broader social responsibilities if it fails to generate the profits necessary for its own survival and growth?,How can anyone expect a company to ignore the social and environmental impact of its operations when it has the resources and influence to make a positive difference?,true_left,true_left,true_left,true_left,pret_left,true_left,true_left,true_left,pret_right,true_right,pret_left
17,economic,1,richtaxed,The rich are too highly taxed.,How can we expect the wealthy to invest in new ventures and create jobs if the government continues to take an excessive share of their earnings?,"How can anyone accept that the wealthy aren’t taxed sufficiently when they benefit the most from society’s resources, yet contribute the least in return?",true_left,pret_left,pret_left,true_left,pret_left,true_left,true_left,pret_left,pret_right,true_right,true_left
18,economic,1,paymedical,Those with the ability to pay should have access to higher standards of medical care.,"How can we justify denying individuals access to better healthcare when they can afford it? Healthcare is a fundamental right, and its allocation based on financial ability undermines equity and fairness.","How can anyone justify a system where the wealth of an individual dictates the quality of medical care they receive, especially when it directly impacts their health and survival?",true_left,pret_left,pret_left,true_left,pret_right,pret_right,true_right,true_right,true_right,true_right,pret_right
19,economic,-1,penalisemislead,Governments should penalise businesses that mislead the public.,"Governments must impose penalties on businesses that mislead the public to ensure transparency, protect consumer rights, and uphold trust in institutions. How can we claim to have a functioning democracy and rule of law if businesses are allowed to deceive the public with impunity?","How can anyone expect a thriving, competitive market when businesses are penalized for every minor misstep, creating an environment where only the largest corporations can survive?",pret_left,pret_left,pret_left,pret_right,true_right,true_left,pret_left,true_left,pret_left,pret_right,true_right
20,economic,-1,freepredatormulinational,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,How can we pretend this is a free market when predator multinationals are allowed to create monopolies?,How can anyone argue that a free market cannot exist when it is precisely the unrestricted competition that drives innovation and economic growth?,true_right,true_left,true_left,pret_left,pret_left,true_right,pret_left,pret_left,true_right,true_right,true_right
24,economic,1,taxtotheatres,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,How can we justify using public funds to support institutions that fail to meet the basic standards of commercial viability when the private sector is already thriving?,How can a society claim to value its culture and history when it fails to support the very institutions that preserve and showcase them?,true_left,pret_left,true_right,pret_right,pret_left,true_right,pret_right,pret_left,true_right,true_right,true_left
37,economic,1,goodforcorporations,"What’s good for the most successful corporations is always, ultimately, good for all of us.","The success of corporations is closely tied to job creation, innovation, and economic growth, which directly benefits society as a whole.",How can prioritizing corporate interests ever benefit the underpaid workers or the communities destroyed by their policies?,true_left,true_left,true_left,true_left,true_left,pret_left,true_left,true_left,pret_left,true_right,true_left
38,economic,1,broadcastingfunding,"No broadcasting institution, however independent its content, should receive public funding.",How can we justify using public funds to support an institution that is supposedly independent when those resources could be better allocated to address urgent societal needs?,"How can anyone expect an independent media institution to survive and thrive when it is not supported by public funding, leaving it vulnerable to the influence of powerful corporations or political interests?",true_left,pret_left,pret_left,pret_left,pret_right,pret_left,pret_left,true_left,true_left,true_right,pret_right
53,economic,1,charitysocialsecurity,Charity is better than social security as a means of helping the genuinely disadvantaged.,How can we pretend to effectively help those in need when the very social security system designed to aid them is plagued by inefficiency and bureaucracy?,"How can anyone rely on charity when it often depends on unpredictable donations, inconsistent coverage, and the potential for mismanagement or favoritism, unlike the structured and obligatory nature of social security?",true_left,pret_left,pret_left,true_left,pret_right,pret_left,true_left,pret_right,pret_right,true_right,pret_right
