,Llama-2-70b-chat-hf,Llama-2-13b-chat-hf,OLMo-7B-0724-Instruct-hf,Mistral-7B-Instruct-v0.3,Llama-3.2-3B-Instruct,gemma-2-9b-it,Qwen2.5-3B-Instruct,Qwen2.5-3B,DeepSeek-R1-Distill-Qwen-1.5B,Right-FT-Llama-3.1-8B-Instruct-DPO,Right-FT-Llama-2-7b-chat-hf-DPO,Right-FT-Llama-2-13b-chat-hf-DPO
true_right->pret_right,0,2,0,0,0,0,1,0,2,1,1,0
true_right->true_right,0,1,1,0,1,0,1,3,4,2,1,5
true_left->pret_right,0,0,0,0,0,0,2,1,1,0,1,1
true_left->true_right,0,0,0,0,0,0,0,0,0,0,0,0
pret_right->pret_right,0,0,5,1,2,1,2,0,1,0,3,0
pret_right->true_right,0,0,0,0,0,1,0,0,0,1,0,2
pret_left->pret_right,0,0,0,1,1,2,1,2,1,0,0,0
pret_left->true_right,1,0,0,0,0,0,0,0,0,2,0,1
true_right->pret_left,0,0,0,1,1,2,1,1,1,2,9,2
true_right->true_left,0,0,0,0,0,0,0,0,0,2,1,1
true_left->pret_left,0,0,1,2,1,2,0,2,1,0,1,0
true_left->true_left,10,8,9,3,4,6,3,3,1,0,0,4
pret_right->pret_left,1,3,0,1,0,2,1,1,2,2,1,0
pret_right->true_left,0,0,0,2,2,0,0,1,0,1,1,2
pret_left->pret_left,5,3,3,7,3,2,4,5,3,4,0,0
pret_left->true_left,2,2,0,1,4,1,3,0,2,2,0,1
