OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
87.5	85.71	13.33	93.75	28.57	28.99	88.57	90.4
96.1	98.0	57.58	84.62	30.3	67.83	94.44	84.47
93.02	96.97	6.25	95.24	42.86	47.83	92.65	97.22
92.98	89.47	0.0	95.24	15.79	26.56	86.96	92.31
71.74	86.57	31.25	85.71	35.0	40.3	93.33	89.52
95.92	95.59	15.56	92.31	41.03	57.69	87.18	98.59
83.64	97.73	63.33	89.47	33.33	27.59	91.94	90.62
88.14	91.43	11.63	93.33	0.0	32.23	83.05	96.04
94.87	90.2	28.07	92.59	5.0	34.67	73.81	98.67
71.93	93.94	26.47	90.0	0.0	35.06	97.78	95.19
86.36	89.83	27.91	89.29	21.43	37.84	91.8	99.1
82.46	91.3	0.0	81.82	3.85	28.57	91.67	92.96
91.25	97.96	22.97	90.0	0.0	41.1	98.59	92.78
91.43	94.87	13.04	94.44	0.0	85.11	54.71	96.0
84.62	87.18	9.38	93.33	15.38	28.12	77.89	98.11
98.11	98.31	6.06	90.0	0.0	27.91	83.53	94.96
85.96	77.78	14.81	82.14	36.0	40.7	90.43	99.12
89.16	97.92	15.0	94.44	12.0	33.93	73.04	86.99
95.76	98.68	25.64	95.65	0.0	83.12	95.83	98.77
