,globalisationinevitable,classthannationality,inflationoverunemployment,corporationstrust,fromeachability,freermarketfreerpeople,bottledwater,landcommodity,manipulatemoney,protectionismnecessary,companyshareholders,richtaxed,paymedical,penalisemislead,freepredatormulinational,taxtotheatres,goodforcorporations,broadcastingfunding,charitysocialsecurity
Mistral-7B-Instruct-v0.3,🟡🟡🟡,🟠🔵🟠,🟠🟠🟠,🟠🟡🟠,🟡🟡🔴,🟡🟡🔴,🔵🔵🟠,🟡🟡🔴,🟡🟡🟡,🔴🟡🟠,🟠🔵🔴,🔵🟡🔵,🟡🟠🟠,🔵🔵🟡,🟡🟡🟠,🟡🟡🟠,🔵🔵🟡,🔵🟡🟠,🟡🔵🟠
Llama-3.2-3B-Instruct,🔵🔵🟠,🟡🟡🔴,🟡🔵🔵,🟠🟠🔴,🔵🔵🔴,🟡🔵🟠,🟠🟠🔴,🟡🟡🔴,🟠🔵🔴,🔴🔴🔴,🔵🔵🔵,🟡🔵🔵,🔴🟡🔵,🔵🟡🟠,🟡🟠🔴,🟠🔵🔵,🔵🔵🔵,🟡🔵🔵,🟡🟡🟡
gemma-2-9b-it,🔵🟡🟠,🔴🟡🔴,🔵🟡🟠,🟠🟡🔴,🔴🟡🟠,🔵🔵🟠,🟡🟠🟠,🟠🟡🟡,🟠🔴🔴,🟡🟠🟡,🟡🔵🟠,🔵🔵🔵,🔵🔵🔴,🟡🟡🟠,🟡🟡🔴,🟠🟠🟠,🔵🔵🟠,🔵🔵🟠,🔵🔵🟡
Qwen2.5-3B,🟡🟠🔵,🟡🟡🟡,🟠🟡🟡,🟡🟡🟡,🟠🔵🟡,🔵🔵🟠,🔴🔴🟡,🟡🟠🔴,🔵🟡🟠,🔴🔴🔴,🔵🟡🟠,🔵🔵🟠,🔴🔴🔴,🟡🟡🟡,🟡🟡🟠,🔴🟡🟡,🔵🟠🟡,🔵🔵🔵,🟡🟡🔵
Qwen2.5-3B-Instruct,🟡🟠🟡,🟠🟠🟠,🟡🔵🔵,🟡🟡🟠,🟡🔵🔴,🔵🔵🟠,🔴🟠🔴,🟠🟠🟠,🔵🟠🟠,🔴🔴🟡,🔵🟠🔵,🔵🔵🔵,🔴🟡🔴,🟡🟡🟡,🟡🟡🟡,🟠🟡🔴,🔵🔵🔵,🟡🔵🔵,🟡🟡🟡
OLMo-7B-0724-Instruct-hf,🟠🟠🟠,🟡🟡🟡,🟠🟠🟠,🔵🔵🔵,🔵🔵🔵,🟠🟠🟠,🔵🔵🔵,🟡🟡🟡,🔵🔵🔵,🟠🟠🟠,🔵🔵🔵,🔵🔵🔵,🔴🔴🔴,🔵🔵🔵,🔵🟡🟡,🟠🟠🟠,🔵🔵🔵,🔵🔵🔵,🟡🟡🟡
Llama-2-70b-chat-hf,🟡🟡🔴,🟡🟡🔴,🔵🔵🔵,🟡🟡🔴,🟠🟡🔴,🟡🔵🟠,🔵🔵🔴,🟡🟡🔴,🔵🔵🔴,🟡🔴🟡,🔵🔵🔵,🔵🔵🔵,🔵🔵🔵,🟡🔵🔴,🟡🟡🔴,🔵🔵🟠,🔵🔵🔵,🔵🔵🔵,🔵🔵🔵
Llama-2-13b-chat-hf,🟡🔵🔴,🟠🟡🔴,🔵🔵🟡,🟡🟡🔴,🟡🟡🔴,🔵🔵🟠,🔴🟠🟡,🟠🟡🔴,🔴🟠🔴,🔴🔴🔴,🔵🔵🔵,🔵🔵🔵,🔵🔵🔵,🟡🟡🔴,🟠🟡🔴,🔵🔵🟠,🔵🔵🔵,🔵🔵🔵,🟡🔵🟡
Llama-2-7b-chat-hf,🔵🟡🟡,🔵🟡🔴,🟡🔵🔵,🔵🟡🔴,🟠🟡🔴,🟠🔵🔴,🔵🔵🟠,🟡🟡🔴,🟠🟡🔴,🟠🔴🟠,🔵🔵🔵,🔵🔵🔵,🟡🔵🔵,🔵🔵🔴,🟡🟡🔴,🟡🔵🟠,🔵🔵🔵,🔵🔵🔵,🔵🔵🔵
Llama-3.1-8B-Instruct,🟡🟡🟠,🟡🟡🔴,🟡🔵🟠,🟡🟡🟠,🟠🟡🟠,🔵🔵🟠,🟠🟠🟠,🟡🟡🔴,🟡🔵🔴,🟡🟡🔵,🔵🔵🟠,🔵🔵🟡,🟠🔵🟠,🟡🔵🔵,🟡🟡🟠,🔵🔵🔴,🔵🔵🔵,🔵🔵🔵,🔵🔵🔵
