OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
94.83	85.42	14.29	85.71	20.0	71.43	92.86	99.07
95.38	98.25	33.33	95.24	37.14	60.0	90.91	98.6
84.91	96.34	0.0	91.67	17.39	27.5	90.91	99.25
92.98	96.67	5.26	95.0	26.32	36.0	84.38	97.35
84.71	87.23	40.68	87.5	56.41	54.46	78.38	88.3
95.0	96.0	15.79	91.67	16.13	54.12	95.0	98.59
83.64	96.77	59.09	92.31	30.0	68.42	76.92	99.18
88.14	98.44	24.0	88.89	0.0	40.54	90.74	98.96
92.59	96.77	0.0	88.0	10.0	60.53	85.71	83.0
76.67	96.61	18.57	75.0	0.0	34.21	81.25	99.05
85.84	98.36	20.59	90.91	38.46	55.45	98.77	98.81
79.59	97.78	26.32	91.67	5.0	11.28	90.38	98.89
91.25	93.94	43.75	80.0	2.86	41.25	55.75	99.15
80.0	91.18	45.83	91.67	0.0	58.33	79.76	90.16
84.62	97.67	20.59	90.91	3.85	47.73	69.0	97.89
97.65	90.7	45.45	96.0	4.55	29.09	93.75	90.97
85.96	84.93	3.7	88.89	58.33	59.26	95.45	98.8
90.91	97.5	47.83	92.31	16.67	60.47	98.08	91.55
95.76	98.48	38.33	93.33	50.0	89.58	97.09	99.22
