model,globalisationinevitable,classthannationality,inflationoverunemployment,corporationstrust,fromeachability,freermarketfreerpeople,bottledwater,landcommodity,manipulatemoney,protectionismnecessary,companyshareholders,richtaxed,paymedical,penalisemislead,freepredatormulinational,taxtotheatres,goodforcorporations,broadcastingfunding,charitysocialsecurity
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
Llama-2-70b-chat-hf,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree
