OLMo-7B-0724-Instruct-hf	Mistral-7B-Instruct-v0.3	Llama-3.2-3B-Instruct	gemma-2-9b-it	Qwen2.5-3B-Instruct	Qwen2.5-3B	DeepSeek-R1-Distill-Qwen-1.5B	Right-FT-Llama-3.1-8B-Instruct-DPO
87.5	94.59	5.56	56.0	14.29	26.95	98.65	99.07
96.1	98.31	4.0	63.64	0.0	65.29	95.65	95.19
93.02	98.48	0.0	93.33	42.86	47.83	81.25	97.98
92.98	95.16	0.0	60.71	4.76	39.13	77.38	96.47
71.74	85.92	3.57	76.92	31.03	46.43	96.83	87.85
95.92	98.51	3.03	66.67	0.0	91.67	94.74	98.81
83.64	98.44	18.6	90.91	11.11	46.77	94.4	90.98
88.14	98.41	0.0	90.91	0.0	60.0	87.62	98.65
94.87	91.07	17.39	56.67	28.77	68.97	95.45	86.54
71.93	91.38	16.22	71.43	0.0	35.06	92.59	98.7
86.36	98.36	7.89	95.0	26.32	39.84	95.16	98.84
82.46	87.5	22.5	47.83	5.0	23.53	86.02	98.9
91.25	98.18	19.35	92.86	29.17	42.42	90.53	98.9
91.43	91.43	17.39	36.36	0.0	58.33	75.61	95.9
84.62	94.74	4.35	53.85	16.67	27.69	85.44	98.85
98.11	92.11	4.55	76.47	4.55	28.74	86.89	92.31
85.96	78.43	5.88	87.5	21.43	51.28	64.21	98.96
89.16	94.44	14.29	90.0	7.14	33.75	92.86	91.07
95.76	98.21	21.43	82.35	16.13	48.61	80.82	98.77
